gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1451082269																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Panthera_leo_S_430_2_0		Tembrock, Günter													PRESENT																																									DE				Zirkus Probst																																																												Panthera leo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora	Felidae		Panthera	Panthera			leo			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:44.627Z								Sound	false	false	5219404	5219404	1	44	359	732	9703	2435194		5219404	Panthera leo	Panthera leo (Linnaeus, 1758)	Panthera leo Linnaeus, 1758		BIOCASE	2022-09-09T08:41:44.627Z	2022-04-23T02:14:53.686Z	false										VU
1451082268																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Panthera_leo_S_430_1_0		Tembrock, Günter													PRESENT																			1960-07-27T18:00:00				1960	7	27																DE				Zirkus Probst																																																												Panthera leo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora	Felidae		Panthera	Panthera			leo			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:44.531Z								Sound	false	false	5219404	5219404	1	44	359	732	9703	2435194		5219404	Panthera leo	Panthera leo (Linnaeus, 1758)	Panthera leo Linnaeus, 1758		BIOCASE	2022-09-09T08:41:44.531Z	2022-04-23T02:14:53.686Z	false										VU
1451082267																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Panthera_leo_S_945_1_0		Tembrock, Günter													PRESENT																			1964-12-31T14:00:00				1964	12	31																DE				Tierpark Berlin																																																												Panthera leo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora	Felidae		Panthera	Panthera			leo			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:38.366Z								Sound	false	false	5219404	5219404	1	44	359	732	9703	2435194		5219404	Panthera leo	Panthera leo (Linnaeus, 1758)	Panthera leo Linnaeus, 1758		BIOCASE	2022-09-09T08:41:38.366Z	2022-04-23T02:14:53.686Z	false										VU
1451082266																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Panthera_leo_S_1350_10_1		Tembrock, Günter													PRESENT																																									DE				Zoo Leipzig																																																												Panthera leo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora	Felidae		Panthera	Panthera			leo			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:43.629Z								Sound	false	false	5219404	5219404	1	44	359	732	9703	2435194		5219404	Panthera leo	Panthera leo (Linnaeus, 1758)	Panthera leo Linnaeus, 1758		BIOCASE	2022-09-09T08:41:43.629Z	2022-04-23T02:14:53.686Z	false										VU
1451082265																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Panthera_leo_S_544_1_0		Tembrock, Günter													PRESENT																			1961-04-15T18:00:00				1961	4	15																DE				Zoo Berlin																																																												Panthera leo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora	Felidae		Panthera	Panthera			leo			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:41.533Z								Sound	false	false	5219404	5219404	1	44	359	732	9703	2435194		5219404	Panthera leo	Panthera leo (Linnaeus, 1758)	Panthera leo Linnaeus, 1758		BIOCASE	2022-09-09T08:41:41.533Z	2022-04-23T02:14:53.686Z	false										VU
1451082264																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Panthera_leo_S_294_3_1		Tembrock, Günter													PRESENT																			1959-10-15T00:00:00				1959	10	15																DE				Zoo Leipzig																																																												Panthera leo (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora	Felidae		Panthera	Panthera			leo			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:41.296Z								Sound	false	false	5219404	5219404	1	44	359	732	9703	2435194		5219404	Panthera leo	Panthera leo (Linnaeus, 1758)	Panthera leo Linnaeus, 1758		BIOCASE	2022-09-09T08:41:41.296Z	2022-04-23T02:14:53.686Z	false										VU
1291058087																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Mustela_putorius_S_414_3_1		Tembrock, Günter													PRESENT																			1960-07-13T21:00:00				1960	7	13																DE				Zoo Berlin																																																												Mustela putorius Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Mustelidae		Mustela	Mustela			putorius			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:43.220Z								Sound	false	false	5218911	5218911	1	44	359	732	5307	2433922		5218911	Mustela putorius	Mustela putorius Linnaeus, 1758	Mustela putorius Linnaeus, 1758		BIOCASE	2022-09-09T08:41:43.220Z	2022-04-23T02:14:53.686Z	false										LC
1291058073																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Canis_anthus_S_414_1_1		Tembrock, Günter													PRESENT																			1960-07-13T19:30:00				1960	7	13																DE				Zoo Berlin																																																												Canis anthus F.Cuvier, 1820								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis	Canis			anthus			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:42.773Z								Sound	false	false	8538199	8538199	1	44	359	732	9701	5219142		8538199	Canis anthus	Canis anthus F.Cuvier, 1820	Canis anthus F. Cuvier, 1820		BIOCASE	2022-09-09T08:41:42.773Z	2022-04-23T02:14:53.686Z	false										LC
1269848210																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Vulpes_vulpes_DIG_176_92_0		Frommolt, Karl-Heinz													PRESENT																			2014-05-25T23:38:00				2014	5	25																DE				Peenemuende									54.1618	13.78																																																		Vulpes vulpes (Linnaeus, 1758)								Animalia	Chordata	Mammalia	Carnivora	Canidae		Vulpes	Vulpes			vulpes			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:42.024Z	0.0						GEODETIC_DATUM_ASSUMED_WGS84	Sound	true	false	5219243	5219243	1	44	359	732	9701	5219234		5219243	Vulpes vulpes	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes Linnaeus, 1758		BIOCASE	2022-09-09T08:41:42.024Z	2022-04-23T02:14:53.686Z	false		DEU	Germany	DEU.8_1	Mecklenburg-Vorpommern	DEU.8.7_1	Vorpommern-Greifswald	DEU.8.7.18_1	Usedom-Nord	LC
1060566741																																				CC_BY_4_0																							MfN	TSA			OBSERVATION					TSA:Mustela_putorius_M_72_3_1		Meyer, Hugo													PRESENT																			1960-07-19T00:00:00				1960	7	19																DE				Klein-Neundorf																																																												Mustela putorius Linnaeus, 1758								Animalia	Chordata	Mammalia	Carnivora	Mustelidae		Mustela	Mustela			putorius			SPECIES				ACCEPTED			b7ec1bf8-819b-11e2-bad2-00145eb45e9a	DE	2022-09-09T08:41:38.467Z								Sound	false	false	5218911	5218911	1	44	359	732	5307	2433922		5218911	Mustela putorius	Mustela putorius Linnaeus, 1758	Mustela putorius Linnaeus, 1758		BIOCASE	2022-09-09T08:41:38.467Z	2022-04-23T02:14:53.686Z	false										LC
