gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1451082269																																																											MfN	TSA			Sound Recording					TSA:Panthera_leo_S_430_2_0		Tembrock, Günter																																																							DE					Zirkus Probst																																																																				Panthera leo Linnaeus, 1758																												
1451082268																																																											MfN	TSA			Sound Recording					TSA:Panthera_leo_S_430_1_0		Tembrock, Günter																																	1960-07-27 18:00																						DE					Zirkus Probst																																																																				Panthera leo Linnaeus, 1758																												
1451082267																																																											MfN	TSA			Sound Recording					TSA:Panthera_leo_S_945_1_0		Tembrock, Günter																																	1964-12-31 14:00																						DE					Tierpark Berlin																																																																				Panthera leo Linnaeus, 1758																												
1451082266																																																											MfN	TSA			Sound Recording					TSA:Panthera_leo_S_1350_10_1		Tembrock, Günter																																																							DE					Zoo Leipzig																																																																				Panthera leo Linnaeus, 1758																												
1451082265																																																											MfN	TSA			Sound Recording					TSA:Panthera_leo_S_544_1_0		Tembrock, Günter																																	1961-04-15 18:00																						DE					Zoo Berlin																																																																				Panthera leo Linnaeus, 1758																												
1451082264																																																											MfN	TSA			Sound Recording					TSA:Panthera_leo_S_294_3_1		Tembrock, Günter																																	1959-10-15																						DE					Zoo Leipzig																																																																				Panthera leo Linnaeus, 1758																												
1291058087																																																											MfN	TSA			Sound Recording					TSA:Mustela_putorius_S_414_3_1		Tembrock, Günter																																	1960-07-13 21:00																						DE					Zoo Berlin																																																																				Mustela putorius Linnaeus, 1758																												
1291058073																																																											MfN	TSA			Sound Recording					TSA:Canis_anthus_S_414_1_1		Tembrock, Günter																																	1960-07-13 19:30																						DE					Zoo Berlin																																																																				Canis anthus F. Cuvier, 1820																												
1269848210																																																											MfN	TSA			Sound Recording					TSA:Vulpes_vulpes_DIG_176_92_0		Frommolt, Karl-Heinz																																	2014-05-25 23:38																						DE					Peenemuende		0											54.1618	13.78																																																						Vulpes vulpes Linnaeus, 1758																												
1060566741																																																											MfN	TSA			Sound Recording					TSA:Mustela_putorius_M_72_3_1		Meyer, Hugo																																	1960-07-19																						DE					Klein-Neundorf																																																																				Mustela putorius Linnaeus, 1758																												
1060545451																																																											MfN	TSA			Sound Recording					TSA:Martes_foina_Ski_110_58_2		Skiba, Reinald																																	1999-07-03 23:00																						DE					Hückeswagen													51.17	7.38																																																						Martes foina Erxleben, 1777																												
1052811762																																																											MfN	TSA			Sound Recording					TSA:Phoca_vitulina_D_1_4_1		Lütgens, Hans																																																							DE					Wangerooge																																																																				Phoca vitulina Linnaeus, 1758																												
1052810971																																																											MfN	TSA			Sound Recording					TSA:Mustela_putorius_S_618_5_1		Tembrock, Günter																																	1961-08-03 19:30																						DE					Bad Fallingbostel													52.866667	9.7																																																						Mustela putorius Linnaeus, 1758																												
1052802741																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_Tre_N_127_2_1		Tretzel, Erwin																																	1973-06-15																						DE					Sötern																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802739																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_16_2		Löhn, Janet and Berger, Anne																																	1992-03-18 11:22																						DE					Birken-Honigsessen																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
