gbifID,type,format,URL,references,license,group,Common Name,Scientific Name
1451082269,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Panthera_leo_S0430_02_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Panthera_leo_S_430_2_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,African Lion,Panthera leo
1451082268,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Panthera_leo_S0430_01_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Panthera_leo_S_430_1_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,African Lion,Panthera leo
1451082267,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Panthera_leo_S0945_01_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Panthera_leo_S_945_1_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,African Lion,Panthera leo
1451082266,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Panthera_leo_S1350_10_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Panthera_leo_S_1350_10_1&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,African Lion,Panthera leo
1451082265,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Panthera_leo_S0544_01_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Panthera_leo_S_544_1_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,African Lion,Panthera leo
1451082264,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Panthera_leo_S0294_03_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Panthera_leo_S_294_3_1&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,African Lion,Panthera leo
1291058087,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Mustela_putorius_S0414_03_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Mustela_putorius_S_414_3_1&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,European Polecat,Mustela putorius
1291058073,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Canis_anthus_S0414_01_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Canis_anthus_S_414_1_1&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,African Golden Wolf,Canis anthus
1269848210,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Vulpes_vulpes_DIG0176_92_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Vulpes_vulpes_DIG_176_92_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,Cross Fox,Vulpes vulpes
1060566741,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Mustela_putorius_M0072_03_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Mustela_putorius_M_72_3_1&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,European Polecat,Mustela putorius
1060545451,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Martes_foina_Ski0110_58_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Martes_foina_Ski_110_58_2&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,Beech Marten,Martes foina
1052811762,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Phoca_vitulina_D0001_04_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Phoca_vitulina_D_1_4_1&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Carnivora,Common Seal,Phoca vitulina
