,gbifID,type,format,URL,group,Common Name,Scientific Name,Type,id
252,1269848194,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_V0549_02_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1269848194
253,1269848193,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_V0549_06_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1269848193
264,1269848182,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_DIG0176_105_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1269848182
292,1269848154,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Locustella_naevia_DIG0176_100_short.mp3,Aves,Grasshopper Warbler,Locustella naevia,Not Dangerous,1269848154
332,1269848114,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Kr0094_02_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1269848114
365,1249269582,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_08_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269582
366,1249269581,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_06_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269581
367,1249269580,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_04_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269580
368,1249269579,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_02_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269579
369,1249269578,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_05_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269578
370,1249269577,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Lue0096_05_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269577
372,1249269575,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Lue0096_03_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269575
373,1249269574,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_09_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269574
374,1249269573,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Lue0096_03_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269573
376,1249269571,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_01_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269571
377,1249269570,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Lue0096_06_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269570
380,1249269567,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_03_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269567
381,1249269566,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Lue0096_02_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269566
383,1249269564,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Lue0096_02_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269564
386,1249269561,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Bru_DAT0020_03_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269561
387,1249269560,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Bru_DAT0020_01_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269560
388,1249269559,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Bru_DAT0020_07_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1249269559
389,1249269558,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Bru_DAT0020_06_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269558
390,1249269557,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Bru_DAT0020_05_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269557
391,1249269556,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Bru_DAT0020_02_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269556
393,1249269554,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Bru_DAT0020_04_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269554
394,1249269553,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Lue0096_04_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1249269553
459,1249269488,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Troglodytes_troglodytes_Lue0100_03_short.mp3,Aves,Wren,Troglodytes troglodytes,Not Dangerous,1249269488
477,1249269470,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Troglodytes_troglodytes_Lue0100_05_short.mp3,Aves,Wren,Troglodytes troglodytes,Not Dangerous,1249269470
483,1249269464,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Troglodytes_troglodytes_Lue0100_02_short.mp3,Aves,Wren,Troglodytes troglodytes,Not Dangerous,1249269464
484,1249269463,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Troglodytes_troglodytes_Lue0100_04_short.mp3,Aves,Wren,Troglodytes troglodytes,Not Dangerous,1249269463
485,1249269462,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Troglodytes_troglodytes_Lue0100_08_short.mp3,Aves,Wren,Troglodytes troglodytes,Not Dangerous,1249269462
499,1249269448,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Sylvia_melanocephala_Lue0094_03_short.mp3,Aves,Sardinian Warbler,Sylvia melanocephala,Not Dangerous,1249269448
503,1249269444,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Sylvia_melanocephala_Lue0094_04_short.mp3,Aves,Sardinian Warbler,Sylvia melanocephala,Not Dangerous,1249269444
504,1249269443,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Sylvia_melanocephala_Lue0094_02_short.mp3,Aves,Sardinian Warbler,Sylvia melanocephala,Not Dangerous,1249269443
573,1249269374,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Regulus_ignicapilla_Lue0090_04_short.mp3,Aves,Firecrest,Regulus ignicapilla,Not Dangerous,1249269374
698,1249269218,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Locustella_naevia_Lue0092_02_short.mp3,Aves,Grasshopper Warbler,Locustella naevia,Not Dangerous,1249269218
750,1249269166,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_35_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269166
752,1249269164,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_37_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269164
754,1249269162,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_06_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269162
755,1249269161,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_39_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269161
